Power Ratio,Defense,Armored,Mechanized,Infantry,HorseCavalry
1.00,Hasty Defense,4.00,4.00,4.00,3.00
1.00,Prepared Defense,2.00,2.00,2.00,1.60
1.00,Fortified Defense,1.00,1.00,1.00,0.60
1.11,Hasty Defense,5.00,4.50,4.50,3.50
1.11,Prepared Defense,2.25,2.25,2.25,1.50
1.11,Fortified Defense,1.85,1.85,1.85,0.70
1.26,Hasty Defense,6.00,5.00,5.00,4.00
1.26,Prepared Defense,2.50,2.50,2.50,2.00
1.26,Fortified Defense,1.50,1.50,1.50,0.80
1.46,Hasty Defense,9.00,7.50,6.50,6.00
1.46,Prepared Defense,4.00,3.50,3.00,2.50
1.46,Fortified Defense,2.00,2.00,1.75,0.90
1.76,Hasty Defense,12.00,10.00,8.00,8.00
1.76,Prepared Defense,6.00,5.00,4.00,3.00
1.76,Fortified Defense,3.00,2.50,2.00,1.00
2.26,Hasty Defense,16.00,13.00,10.00,12.00
2.26,Prepared Defense,8.00,7.00,5.00,6.00
2.26,Fortified Defense,4.00,3.00,2.50,2.00
3.01,Hasty Defense,20.00,16.00,12.00,15.00
3.01,Prepared Defense,10.00,8.00,6.00,7.00
3.01,Fortified Defense,5.00,4.00,3.00,4.00
4.26,Hasty Defense,40.00,30.00,18.00,28.00
4.26,Prepared Defense,20.00,16.00,10.00,14.00
4.26,Fortified Defense,10.00,8.00,6.00,7.00
6.00,Hasty Defense,60.00,48.00,24.00,40.00
6.00,Prepared Defense,30.00,24.00,12.00,12.00
6.00,Fortified Defense,30.00,24.00,12.00,12.00
